"restaurant_id","created_at","updated_at","address","address_lot","blog_review_cnt","category1","category2","category3","geom","image","is_parking","is_reservation","kakao_id","kakao_rating","kakao_review_cnt","kakao_summary","kakao_url","kakao_visits","menu","name","phone","price_range"
155,2025-11-05 10:41:34.000 +0900,2025-11-10 13:59:47.227 +0900,서울 강남구 테헤란로 231,서울 강남구 역삼동 676,169,음식점,양식,,POINT (127.0416528 37.50347844),"[""http://t1.daumcdn.net/local/kakaomapPhoto/review/a731c4ffd769cd34eaf5aea9026af031c62ce25a?original"", ""http://t1.daumcdn.net/local/kakaomapPhoto/review/0e9881fed7e89aa5107cc6dd19db820c1ad8e7c2?original"", ""http://t1.daumcdn.net/local/kakaomapPhoto/review/f8d4ea492f78f670f8768ab57215e5262e5420ac?original""]",,,712421222,4.7,20,"{""title"": ""우드톤의 품격과 신선함이 머무는 공간"", ""summary"": ""프렌치 파인다이닝 레스토랑으로, 국내산 제철 재료를 활용하여 고급스러운 요리를 선보입니다. 아뮤즈 부쉬와 다양한 코스 요리에서 신선한 해산물과 채소를 사용하며, 특히 소갈비살과 제주 흑돼지 안심이 인상적입니다. 분위기는 조용하고 프라이빗하여 특별한 날에 적합하며, 세심한 서비스가 돋보입니다.""}",http://place.map.kakao.com/712421222,"{""labels"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23], ""max_uv"": 480, ""friday_uv"": [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 471, 135, 172, -1, -1, -1, 468, 190, 87, 70, -1, -1], ""monday_uv"": [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1], ""sunday_uv"": [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1], ""tuesday_uv"": [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 198, 163, 114, -1, -1, -1, 306, 140, 78, 61, -1, -1], ""updated_at"": ""2025-11-06 01:13:03"", ""day_of_week"": ""THURSDAY"", ""saturday_uv"": [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 392, 170, 127, -1, -1, -1, 480, 106, 73, 55, -1, -1], ""thursday_uv"": [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 191, 131, 141, -1, -1, -1, 401, 121, 81, 67, -1, -1], ""wednesday_uv"": [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 223, 159, 140, -1, -1, -1, 397, 115, 75, 61, -1, -1], ""weekly_uv_average"": [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 295, 151, 138, -1, -1, -1, 410, 134, 78, 62, -1, -1]}","[{""name"": ""Lunch Tasting"", ""price"": 180000, ""is_ai_mate"": false, ""is_recommend"": false}, {""name"": ""Dinner Essential"", ""price"": 230000, ""is_ai_mate"": false, ""is_recommend"": false}, {""name"": ""Dinner Tasting"", ""price"": 300000, ""is_ai_mate"": false, ""is_recommend"": false}]",레스토랑알렌,"02-6985-7214",PREMIUM
159,2025-11-05 10:41:34.000 +0900,2025-11-10 13:59:47.227 +0900,서울 강남구 테헤란로33길 20,서울 강남구 역삼동 672-27,493,음식점,간식,"제과,베이커리",POINT (127.0391488 37.50318827),"[""http://t1.kakaocdn.net/mystore/BB2C9F5E7DB245BF8D9CC4ADD71D1A7A"", ""http://t1.kakaocdn.net/mystore/CC01BD9A8D524A0995BE782BB7A80BC3"", ""http://t1.kakaocdn.net/mystore/42CAB632F524448B90FBC05C6B00E628""]",true,true,342000079,4.2,27,"{""title"": ""런던 감성 가득한 쫄깃한 베이글"", ""summary"": ""역삼역 근처에 위치한 베이글 전문점으로, 갓 구운 천연 발효 수제 베이글을 제공합니다. 매장은 따뜻한 조명과 벽돌 인테리어로 아늑한 분위기를 자아내며, 다양한 종류의 베이글과 음료를 즐길 수 있는 공간입니다. 특히, 트러플 베이글과 감자치즈 베이글이 인기 있으며, 건강을 고려한 재료 사용으로 많은 사랑을 받고 있습니다.""}",http://place.map.kakao.com/342000079,"{""labels"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23], ""max_uv"": 452, ""friday_uv"": [-1, -1, -1, -1, -1, -1, -1, -1, 129, 147, 126, 194, 218, 174, 170, 209, 159, 239, 331, 346, 365, 258, -1, -1], ""monday_uv"": [-1, -1, -1, -1, -1, -1, -1, -1, 76, 135, 194, 124, 145, 143, 180, 217, 121, 246, 153, 268, 166, 153, -1, -1], ""sunday_uv"": [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 267, 256, 241, 306, 262, 193, -1, -1, -1, -1, -1, -1, -1, -1], ""tuesday_uv"": [-1, -1, -1, -1, -1, -1, -1, -1, 120, 93, 154, 129, 153, 198, 279, 135, 174, 207, 203, 452, 345, 245, -1, -1], ""updated_at"": ""2025-11-06 01:29:45"", ""day_of_week"": ""THURSDAY"", ""saturday_uv"": [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 153, 267, 254, 276, 236, 262, -1, -1, -1, -1, -1, -1, -1, -1], ""thursday_uv"": [-1, -1, -1, -1, -1, -1, -1, -1, 125, 141, 161, 270, 336, 334, 147, 277, 273, 170, 261, 369, 306, 205, -1, -1], ""wednesday_uv"": [-1, -1, -1, -1, -1, -1, -1, -1, 121, 93, 198, 217, 192, 194, 140, 180, 174, 256, 251, 450, 299, 65, -1, -1], ""weekly_uv_average"": [-1, -1, -1, -1, -1, -1, -1, -1, 114, 121, 179, 208, 219, 232, 202, 210, 180, 223, 239, 377, 296, 185, -1, -1]}","[{""name"": ""트러플 베이글"", ""price"": 4400, ""is_ai_mate"": true, ""is_recommend"": false}, {""name"": ""카야버터"", ""price"": 4800, ""is_ai_mate"": true, ""is_recommend"": false}, {""name"": ""플레인 베이글"", ""price"": 3200, ""is_ai_mate"": false, ""is_recommend"": false}, {""name"": ""잠봉뵈르"", ""price"": 8500, ""is_ai_mate"": false, ""is_recommend"": false}, {""name"": ""연어샌드위치"", ""price"": 10500, ""is_ai_mate"": false, ""is_recommend"": false}, {""name"": ""통밀 베이글"", ""price"": 4000, ""is_ai_mate"": false, ""is_recommend"": false}, {""name"": ""잠봉샌드위치"", ""price"": 9500, ""is_ai_mate"": false, ""is_recommend"": false}, {""name"": ""고소허니"", ""price"": 5800, ""is_ai_mate"": false, ""is_recommend"": false}, {""name"": ""쏠트프레첼"", ""price"": 4400, ""is_ai_mate"": false, ""is_recommend"": false}, {""name"": ""애브리띵"", ""price"": 3800, ""is_ai_mate"": false, ""is_recommend"": false}, {""name"": ""크랜베리월넛"", ""price"": 4200, ""is_ai_mate"": false, ""is_recommend"": false}, {""name"": ""쪽파베이글"", ""price"": 4000, ""is_ai_mate"": false, ""is_recommend"": false}, {""name"": ""치즈올리브"", ""price"": 4200, ""is_ai_mate"": false, ""is_recommend"": false}, {""name"": ""시나몬베이글"", ""price"": 3800, ""is_ai_mate"": false, ""is_recommend"": false}, {""name"": ""어니언베이글"", ""price"": 4000, ""is_ai_mate"": false, ""is_recommend"": false}, {""name"": ""햄치즈샌드위치"", ""price"": 9500, ""is_ai_mate"": false, ""is_recommend"": false}]",로젯런던베이글,"010-4405-5459",LOW
164,2025-11-05 10:41:34.000 +0900,2025-11-10 13:59:47.227 +0900,서울 강남구 테헤란로37길 27,서울 강남구 역삼동 673-36,13,음식점,중식,중국요리,POINT (127.040132 37.50398803),"[""https://postfiles.pstatic.net/MjAyNTA3MTFfMTMy/MDAxNzUyMjMxNTU5NzI3.hH8x7K-k8PKEzKFo39Aityd2k_hIbgt1swQDAsUGLRsg.dYIDVLN1dS2mcvI1H74ti_k63yHoUY69F0RLPdVOuQog.PNG/Photo_1.png?type=w773"", ""https://postfiles.pstatic.net/MjAyNTA3MTFfMjc5/MDAxNzUyMjMxNTkxMDk0.S_24UjzZpUB_XEpmh0eeuoL0ex-Wo9PFxW7rCRINMAYg.utwmI0Q3ULpq-J7Rp2-EKdzxnI74jAXPxD0LEONNGw4g.PNG/Photo_3.png?type=w773"", ""https://postfiles.pstatic.net/MjAyNTA3MTFfMjE1/MDAxNzUyMjMxNTc0MzE5.FlI6lty2x48U4yE_n82xCVVHWa1d29TieVXlxNGzffYg.8kMBuArffdJiDGj3dwuf_PvHEWV26xaWkQQxVwt9uDMg.PNG/Photo_2.png?type=w773""]",true,true,14502593,3.1,19,"{""title"": ""신선한 재료와 정성 가득한 중식 코스"", ""summary"": ""정통 중국요리를 전문으로 하는 매장으로, 다양한 메뉴와 함께 친절한 서비스가 특징입니다. 특히, 짜장면과 짬뽕을 포함한 단품 메뉴와 세트 메뉴가 잘 구성되어 있어 가족 모임이나 직장인 점심 식사에 적합합니다. 넓고 쾌적한 내부 공간과 프라이빗 룸이 마련되어 있어 단체 이용도 가능합니다.""}",http://place.map.kakao.com/14502593,"","[{""name"": ""자장"", ""price"": 5000, ""is_ai_mate"": false, ""is_recommend"": false}, {""name"": ""어향동고"", ""price"": 35000, ""is_ai_mate"": false, ""is_recommend"": false}, {""name"": ""매운닭고기볶음"", ""price"": 25000, ""is_ai_mate"": false, ""is_recommend"": false}, {""name"": ""게살볶음요리"", ""price"": 40000, ""is_ai_mate"": false, ""is_recommend"": false}, {""name"": ""매생이누룽지"", ""price"": 8000, ""is_ai_mate"": false, ""is_recommend"": false}]",리밍,"02-3453-9388",MEDIUM
149,2025-11-05 10:41:34.000 +0900,2025-11-10 13:59:47.227 +0900,서울 강남구 논현로102길 33,서울 강남구 역삼동 660-33,,음식점,중식,,POINT (127.0377364 37.50580615),"[""http://t1.daumcdn.net/place/2D3084153B224860A26C4B53BE241787""]",,,1328712126,0.0,0,"{""title"": null, ""summary"": null}",http://place.map.kakao.com/1328712126,"","[]",라이라이스,,
165,2025-11-05 10:41:34.000 +0900,2025-11-10 13:59:47.227 +0900,서울 강남구 테헤란로25길 36,서울 강남구 역삼동 641-1,10,음식점,패스트푸드,샌드위치,POINT (127.0351248 37.50294266),"[""http://t1.daumcdn.net/local/kakaomapPhoto/review/ee1f5e402611dfa4833358299873bb6a452a243d?original"", ""http://t1.daumcdn.net/local/kakaomapPhoto/review/579960895390fb6eeabd13c14e87434dc1cd0abc?original"", ""https://postfiles.pstatic.net/MjAyNTA5MDhfMTEx/MDAxNzU3MzI2Mjk0MTU2.Xsik7VophUelOn9yKubkyMeXC-uuEApPYGHq1_QMPIMg.w4hLmmZGayAsJrfnEDbUH5hXkucL748jJT1Plv9Qs8wg.JPEG/IMG%EF%BC%BF1618.jpg?type=w966""]",,,1261401960,5.0,2,"{""title"": ""직접 숙성한 재료로 완성한 미국식 샌드위치"", ""summary"": ""역삼역 근처에 위치한 미국식 샌드위치 전문점으로, 신선한 재료와 직접 만든 수제 햄을 사용하여 건강하고 맛있는 샌드위치를 제공합니다. 매장 분위기는 아담하고 귀여우며, 테라스에서 식사할 수 있는 공간도 마련되어 있습니다.""}",http://place.map.kakao.com/1261401960,"","[]",리암앤노아스보데가,,
166,2025-11-05 10:41:34.000 +0900,2025-11-10 13:59:47.227 +0900,서울 강남구 논현로86길 32,서울 강남구 역삼동 725-24,60,음식점,일식,참치회,POINT (127.0400565 37.50033448),"[""http://t1.daumcdn.net/cfile/184C8A404FC90B3F19"", ""http://t1.kakaocdn.net/mystore/688C01387F414D21A4CD7E82415AA3E2"", ""http://t1.daumcdn.net/cfile/1409E73A4FEFBC6A09""]",true,true,14078484,4.0,34,"{""title"": ""30년 경력 셰프의 신선한 참치 향연"", ""summary"": ""역삼역 인근에 위치한 참치 전문점으로, 30년 이상의 경력을 가진 셰프가 운영하며 신선한 참치와 다양한 스끼다시를 제공합니다. 내부는 아늑한 분위기로 조명과 나무 인테리어가 어우러져 있으며, 회식이나 모임에 적합한 공간을 갖추고 있습니다. 참치회는 부위별로 제공되며, 신선도와 식감이 뛰어나고 기름기와 감칠맛의 밸런스가 좋습니다. 다양한 메뉴가 제공되며, 가격 대비 만족도가 높아 많은 손님들이 찾는 인기 있는 장소입니다.""}",http://place.map.kakao.com/14078484,"{""labels"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23], ""max_uv"": 391, ""friday_uv"": [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 172, 173, 41, 39, -1, 64, 216, 391, 261, 311, 82, -1, -1], ""monday_uv"": [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 216, 46, 41, 39, -1, 183, 309, 135, 162, 75, 93, -1, -1], ""sunday_uv"": [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 52, 62, 55, 87, 76, -1, -1], ""tuesday_uv"": [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 259, 44, 38, 39, -1, 137, 184, 277, 132, 123, 97, -1, -1], ""updated_at"": ""2025-11-06 01:25:40"", ""day_of_week"": ""THURSDAY"", ""saturday_uv"": [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 71, 116, 28, 29, -1, 111, 233, 292, 174, 154, 115, -1, -1], ""thursday_uv"": [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 259, 44, 39, 126, -1, 143, 239, 344, 238, 219, 59, -1, -1], ""wednesday_uv"": [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 129, 45, 82, 39, -1, 184, 190, 201, 182, 81, 96, -1, -1], ""weekly_uv_average"": [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 184, 78, 44, 51, -1, 137, 203, 243, 172, 150, 88, -1, -1]}","[{""name"": ""마구로 젠 골드 (1인)"", ""price"": 80000, ""is_ai_mate"": true, ""is_recommend"": true}, {""name"": ""특 코스 정식 (1인)"", ""price"": 39000, ""is_ai_mate"": false, ""is_recommend"": true}, {""name"": ""코스 정식 (1인)"", ""price"": 29000, ""is_ai_mate"": false, ""is_recommend"": false}, {""name"": ""마구로 젠 사파이어 (1인)"", ""price"": 100000, ""is_ai_mate"": false, ""is_recommend"": false}, {""name"": ""마구로 젠 VIP (1인)"", ""price"": 150000, ""is_ai_mate"": false, ""is_recommend"": false}, {""name"": ""참다랑어정식"", ""price"": 49000, ""is_ai_mate"": false, ""is_recommend"": false}, {""name"": ""대구탕"", ""price"": 11000, ""is_ai_mate"": false, ""is_recommend"": false}, {""name"": ""알밥"", ""price"": 10000, ""is_ai_mate"": false, ""is_recommend"": false}, {""name"": ""특회덥밥"", ""price"": 13000, ""is_ai_mate"": false, ""is_recommend"": false}, {""name"": ""회덥밥"", ""price"": 10000, ""is_ai_mate"": false, ""is_recommend"": false}, {""name"": ""참다랑어 회덮밥"", ""price"": 20000, ""is_ai_mate"": false, ""is_recommend"": false}, {""name"": ""젠초밥"", ""price"": 18000, ""is_ai_mate"": false, ""is_recommend"": false}, {""name"": ""로얄초밥"", ""price"": 25000, ""is_ai_mate"": false, ""is_recommend"": false}, {""name"": ""특초밥"", ""price"": 35000, ""is_ai_mate"": false, ""is_recommend"": false}]",마구로젠,"02-573-2777",HIGH
171,2025-11-05 10:41:34.000 +0900,2025-11-10 13:59:47.227 +0900,서울 강남구 언주로97길 12,서울 강남구 역삼동 664-36,64,음식점,한식,"해물,생선",POINT (127.040273 37.50539175),"[""http://t1.daumcdn.net/local/kakaomapPhoto/review/8a64c9c07af21b3547b07202fbe0d9d40d4ca6b7?original"", ""http://t1.daumcdn.net/local/kakaomapPhoto/review/4bda62fa1419d9419bd6f5bb430ce292a8401880?original"", ""http://t1.daumcdn.net/local/kakaomapPhoto/review/e7eceb0d77195597bc896d62d90d854cec4ee334?original""]",false,true,1539401673,4.4,15,"{""title"": ""진한 집된장과 신선한 병어회의 조화"", ""summary"": ""해산물 전문 노포로, 병어회와 꼬막무침이 특히 유명합니다. 이곳의 병어회는 기름진 맛이 특징이며, 깻잎과 함께 초장, 마늘, 고추, 된장, 밥을 올려 싸먹는 방식이 추천됩니다. 기본 반찬으로 제공되는 콩나물국은 시원하고 맛이 좋으며, 장국은 된장으로 만든 국물에 꼬막이 들어가 있어 술안주로 적합합니다. 친절한 서비스와 유쾌한 분위기도 매력적인 요소입니다.""}",http://place.map.kakao.com/1539401673,"{""labels"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23], ""max_uv"": 1352, ""friday_uv"": [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 221, 278, 357, 1039, 1197, 1056, 559, 359, 155, -1], ""monday_uv"": [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 206, 90, 563, 723, 690, 750, 325, 229, 319, -1], ""sunday_uv"": [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1], ""tuesday_uv"": [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 120, 135, 310, 691, 1010, 453, 409, 232, 238, -1], ""updated_at"": ""2025-11-06 01:24:51"", ""day_of_week"": ""THURSDAY"", ""saturday_uv"": [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 212, 374, 488, 1090, 1352, 899, 575, 349, -1, -1], ""thursday_uv"": [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 121, 93, 396, 913, 1135, 558, 424, 368, 196, -1], ""wednesday_uv"": [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 74, 176, 394, 815, 763, 570, 615, 269, 102, -1], ""weekly_uv_average"": [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 159, 191, 418, 878, 1024, 714, 484, 301, 202, -1]}","[{""name"": ""장국"", ""price"": 15000, ""is_ai_mate"": true, ""is_recommend"": false}, {""name"": ""서대찜"", ""price"": 30000, ""is_ai_mate"": false, ""is_recommend"": false}, {""name"": ""우럭찜"", ""price"": 30000, ""is_ai_mate"": false, ""is_recommend"": false}, {""name"": ""벌교참꼬막"", ""price"": 35000, ""is_ai_mate"": false, ""is_recommend"": false}, {""name"": ""꽁치찌개"", ""price"": 25000, ""is_ai_mate"": false, ""is_recommend"": false}]",마시리벌교참꼬막,"02-566-4750",HIGH
172,2025-11-05 10:41:34.000 +0900,2025-11-10 13:59:47.227 +0900,서울 강남구 봉은사로30길 73,서울 강남구 역삼동 669-9,,음식점,한식,,POINT (127.0371277 37.50294655),"[]",,,1913570366,0.0,0,"{""title"": null, ""summary"": null}",http://place.map.kakao.com/1913570366,"","[]",마싯는녀석들,,
173,2025-11-05 10:41:34.000 +0900,2025-11-10 13:59:47.227 +0900,서울 강남구 언주로85길 13,서울 강남구 역삼동 722,37,음식점,일식,일본식라면,POINT (127.0426564 37.50025518),"[""https://postfiles.pstatic.net/MjAyNTEwMzBfMjc4/MDAxNzYxNzk2MTE2NDAz.-BRjAPszGl_8X4sl2VQR6brqgeE83Rc_mCWgCR81FxAg.7_ddLGptRULOVJax3bK_lwNLBVLUR2tLGSxQrn4x1cwg.JPEG/SE-3d39a0f4-b2ef-11f0-8b0a-d59e4b5ad693.jpg?type=w466"", ""https://postfiles.pstatic.net/MjAyNTEwMzBfNzgg/MDAxNzYxNzk2MTIxNTM5.7UEBsbrO_LB1j3YLsWhHtzVIj2afaQZfYiO-RyW56aUg.QOFjE1naKe81Nx5Kuk3wvR58HzgPWs1t5drN8d2Gesgg.JPEG/SE-3d37cc33-b2ef-11f0-8b0a-5f65d8bc765f.jpg?type=w466"", ""https://postfiles.pstatic.net/MjAyNTEwMzBfMjY3/MDAxNzYxNzk2MTE5MTEy.9Ejh8CdtOCBCoT3vVDPNMEwlkeaTKlfnafMsKQISMCUg.1P8tT2ZWEh5xbOe7g-nUqppr34smOWywCdiYXr7rckYg.JPEG/SE-3d350d12-b2ef-11f0-8b0a-e17b31d1bc5b.jpg?type=w966""]",false,,359270449,4.1,34,"{""title"": ""오리육수로 완성한 깊고 깔끔한 라멘"", ""summary"": ""오리 육수를 사용한 라멘 전문점으로, 각 지점마다 다른 육수 베이스를 제공하는 것이 특징입니다. 특히, 오리 육수는 깊고 깔끔한 맛을 자랑하며, 혼밥하기 좋은 좌석 배치와 키오스크 주문 시스템으로 편리한 식사를 제공합니다. 이곳의 라멘은 빠르게 제공되며, 다양한 토핑과 함께 즐길 수 있습니다.""}",http://place.map.kakao.com/359270449,"","[{""name"": ""마이니치라멘"", ""price"": 10000, ""is_ai_mate"": true, ""is_recommend"": false}, {""name"": ""매운파이탄"", ""price"": 11500, ""is_ai_mate"": true, ""is_recommend"": false}, {""name"": ""아부라소바"", ""price"": 10000, ""is_ai_mate"": false, ""is_recommend"": false}, {""name"": ""소금라멘"", ""price"": 10000, ""is_ai_mate"": false, ""is_recommend"": false}]",마이니치라멘 카모점,"070-4233-6321",LOW
175,2025-11-05 10:41:34.000 +0900,2025-11-10 13:59:47.227 +0900,서울 강남구 언주로 408,서울 강남구 역삼동 711-6,,음식점,한식,"육류,고기",POINT (127.0446135 37.49947238),"[""http://t1.daumcdn.net/place/810143A40B314912BB097D5F905A6ED9"", ""http://t1.daumcdn.net/place/10C8A9C904EF48E7A8F3F9E94DAF86B6"", ""http://t1.daumcdn.net/place/0001BF5CC8F34A5F83486E0CC409C92B""]",,,1895220310,0.0,0,"{""title"": null, ""summary"": null}",http://place.map.kakao.com/1895220310,"","[]",마장동축산시장 곱도리,,
